SKU,Description
S4MZM9101H05C,"Sophos Access Points Support for AP6 420 - MSP - CanadaCAD - Device - 1-24"
S4MZM9101H06C,"Sophos Access Points Support for AP6 420X - MSP - CanadaCAD - Device - 1-24"
S4MZ00000029C,"Sophos Switch Support and Services for CS110-24 - MSP - CanadaCAD - Device - 1-24"
S4MZM8101PAMD,"Sophos Switch Support and Services for CS110-48 - MSP - CanadaCAD - Device - 1-24"
S4MZM8101H03C,"Sophos Switch Support and Services for CS110-24FP - MSP - CanadaCAD - Device - 1-24"
S4MZ721A1P01C,"Sophos Email - MSP - CanadaCAD - Users - 100-499"
S4MZ811A1P01C,"Sophos Endpoint - MSP - CanadaCAD - User - 100-499"
S4MZI8125P01C,"Sophos MDR Complete - MSP Monthly - CanadaCAD - Server - 25-99"
S4MZI71A1P01C,"Sophos MDR Complete - MSP Monthly - CanadaCAD - User - 100-499"
S4MZH51A1P02C,"Sophos MDR Essentials - MSP Monthly - CanadaCAD - User - 100-499"
S4MZ00000047C,"Sophos Workspace Protection - MSP Monthly - CanadaCAD - User - 100-499"
S4MZI4125P01C,"Sophos Endpoint - MSP - CanadaCAD - Server - 25-99"
S4MZD1101P02C,"Sophos XG 106 Standard Protection - MSP - CanadaCAD - Device - 1-24"
S4MZA7101P02C,"Sophos XGS 116 Standard Protection - MSP Monthly - CanadaCAD - Device - 1-24"
S4MZD5101P02C,"Sophos XG 125 Standard Protection - MSP - CanadaCAD - Device - 1-24"
S4MZ00000032C,"Sophos XGS 88 Standard Protection - MSP Monthly - CanadaCAD - Device - 1-24"
S4MZ99101P03C,"Sophos XGS 107 Xstream Protection - MSP Monthly - CanadaCAD - Device - 1-24"
S4MZ96101P03C,"Sophos XGS 116 Xstream Protection - MSP Monthly - CanadaCAD - Device - 1-24"
S4MZB2101P03C,"Sophos XGS 2100 Xstream Protection - MSP - CanadaCAD - Devices - 1-24"
S4MZ00000015C,"Sophos XDR - Server - MSP Monthly - CanadaCAD - Server - 25-99"
S4MZ00000021C,"Sophos XDR - User - MSP Monthly - CanadaCAD - User - 100-499"
